,5p_length,5p_bulges,5p_bulges_len,5p_basepair,5p_basepair_len
Aae-Bantam,24,18,0.75,6,0.75
Aae-Iab-4-P1,22,22,1.0,0,1.0
Aae-Iab-4-P1-as,25,21,0.84,4,0.84
Aae-Iab-4-P2,22,22,1.0,0,1.0
Aae-Iab-4-P2-as,25,21,0.84,4,0.84
Aae-Let-7,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-1,22,22,1.0,0,1.0
Aae-Mir-10-P1-v1,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-10-P1-v2,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-10-P2,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-10-P3,22,17,0.7727272727272727,5,0.7727272727272727
Aae-Mir-10-P4,25,24,0.96,1,0.96
Aae-Mir-1000-P1,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-1000-P2,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-1175,24,19,0.7916666666666666,5,0.7916666666666666
Aae-Mir-11893-P1,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-11893-P2,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-11895-P1,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-11895-P2,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-11899-P1,22,20,0.9090909090909091,2,0.9090909090909091
Aae-Mir-11899-P2,22,20,0.9090909090909091,2,0.9090909090909091
Aae-Mir-11900,24,20,0.8333333333333334,4,0.8333333333333334
Aae-Mir-11911,23,18,0.782608695652174,5,0.782608695652174
Aae-Mir-12,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-124,22,21,0.9545454545454546,1,0.9545454545454546
Aae-Mir-133,23,23,1.0,0,1.0
Aae-Mir-137-P11,23,19,0.8260869565217391,4,0.8260869565217391
Aae-Mir-137-P12,23,19,0.8260869565217391,4,0.8260869565217391
Aae-Mir-14,22,19,0.8636363636363636,3,0.8636363636363636
Aae-Mir-184,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-1890,22,22,1.0,0,1.0
Aae-Mir-1891-P1-v1,22,18,0.8181818181818182,4,0.8181818181818182
Aae-Mir-1891-P1-v2,23,17,0.7391304347826086,6,0.7391304347826086
Aae-Mir-1891-P2-v1,22,18,0.8181818181818182,4,0.8181818181818182
