,5p_length,5p_bulges,5p_bulges_len,5p_basepair,5p_basepair_len,3p_length,3p_bulges,3p_bulges_len,3p_basepair,3p_basepair_len
Mdo-Mir-7385-P1a,22,3,0.13636363636363635,19,0.8636363636363636,22,4,0.18181818181818182,16,0.7272727272727273
Tca-Mir-9-o7,23,1,0.043478260869565216,22,0.9565217391304348,22,1,0.045454545454545456,19,0.8636363636363636
Efe-Mir-278-P1-v2,25,6,0.24,19,0.76,23,4,0.17391304347826086,17,0.7391304347826086
Sha-Mir-7371-o16,23,11,0.4782608695652174,12,0.5217391304347826,22,8,0.36363636363636365,12,0.5454545454545454
Oan-Mir-199-P1-v2,24,6,0.25,18,0.75,23,3,0.13043478260869565,18,0.782608695652174
Cfa-Mir-34-P2a,23,5,0.21739130434782608,18,0.782608695652174,22,5,0.22727272727272727,15,0.6818181818181818
Mdo-Mir-138-P1,23,4,0.17391304347826086,19,0.8260869565217391,21,3,0.14285714285714285,16,0.7619047619047619
Bge-Mir-216-P1,23,4,0.17391304347826086,19,0.8260869565217391,22,2,0.09090909090909091,18,0.8181818181818182
Aca-Mir-137-P1-v1,24,4,0.16666666666666666,20,0.8333333333333334,23,4,0.17391304347826086,17,0.7391304347826086
Gmo-Let-7-P2c2a,22,3,0.13636363636363635,19,0.8636363636363636,21,2,0.09523809523809523,17,0.8095238095238095
Sha-Mir-7371-o23,23,5,0.21739130434782608,18,0.782608695652174,22,4,0.18181818181818182,16,0.7272727272727273
Tca-Mir-12,23,3,0.13043478260869565,20,0.8695652173913043,22,3,0.13636363636363635,17,0.7727272727272727
Pbv-Mir-199-P3-v3,22,4,0.18181818181818182,18,0.8181818181818182,21,2,0.09523809523809523,17,0.8095238095238095
Tca-Mir-11617-P2,23,6,0.2608695652173913,17,0.7391304347826086,22,4,0.18181818181818182,16,0.7272727272727273
Aca-Mir-124-P3-v2,23,4,0.17391304347826086,19,0.8260869565217391,22,3,0.13636363636363635,17,0.7727272727272727
Mml-Mir-17-P1d,21,5,0.23809523809523808,16,0.7619047619047619,22,5,0.22727272727272727,15,0.6818181818181818
Aca-Mir-9-P2,23,2,0.08695652173913043,21,0.9130434782608695,23,3,0.13043478260869565,18,0.782608695652174
