,G,Y,m
Mdo-Mir-7385-P1a,1,0,0
Tca-Mir-9-o7,0,0,0
Efe-Mir-278-P1-v2,1,0,0
Sha-Mir-7371-o16,0,0,0
Oan-Mir-199-P1-v2,1,1,0
Cfa-Mir-34-P2a,0,0,0
Mdo-Mir-138-P1,1,0,0
Bge-Mir-216-P1,0,1,0
Aca-Mir-137-P1-v1,1,1,0
Gmo-Let-7-P2c2a,0,1,1
Sha-Mir-7371-o23,0,0,0
Tca-Mir-12,0,1,0
Pbv-Mir-199-P3-v3,0,1,0
Tca-Mir-11617-P2,0,1,1
Aca-Mir-124-P3-v2,0,1,0
Mml-Mir-17-P1d,0,1,1
Aca-Mir-9-P2,0,0,0
Bla-Mir-2062,0,0,0
Xla-Mir-101-P1a-v1,1,1,0
Cpo-Mir-6529,1,1,0
Ami-Mir-199-P1-v1,0,0,0
Tni-Mir-24-P3,0,1,0
Sto-Mir-196-P3,1,1,0
Gga-Mir-17-P1c,0,0,0
Cgi-Mir-184-P11,0,1,0
Dre-Mir-15-P1a2,1,1,0
Lpo-Mir-10-P4n,0,0,0
Bla-Mir-137-P15a,0,1,0
Dya-Mir-999,0,1,0
Xla-Mir-204-P2a,1,0,0
Tni-Mir-489-v1,0,0,0
Tgu-Let-7-P2b4,0,1,0
Loc-Mir-219-P2,0,0,0
Bta-Let-7-P2c2,0,1,1
Efe-Mir-124-P19,0,1,0
Cgi-Mir-216-P1,0,1,0
Xtr-Mir-24-P2,0,1,0
Spu-Mir-92-o19,0,1,0
Mdo-Mir-101-P1-v1,1,1,0
Lch-Mir-193-P1a,0,0,1
Cli-Mir-459,0,0,0
Oan-Let-7-P2c3,0,1,0
Asu-Mir-36-o31,0,1,0
Cpi-Mir-17-P2c,0,1,0
Mmu-Mir-188-P2,0,1,1
Dno-Mir-130-P3b,1,1,0
Cmi-Mir-133-P1-v2,0,1,0
Lch-Mir-155,0,1,0
Aca-Mir-145,1,0,0
Bla-Novel-6-P3,0,0,0
Dre-Mir-129-P2a,1,0,0
Cli-Mir-124-P1-v1,0,1,0
Loc-Mir-8-P2a,0,1,0
Dya-Mir-252-P1b,0,0,0
Mmu-Mir-221-P1a,0,0,1
Mmu-Mir-150,0,1,0
Sha-Mir-7398-o14,1,1,0
Lgi-Mir-210,1,1,1
Esc-Mir-29-P2,0,1,0
Lpo-Mir-1-P14,0,1,0
Bge-Mir-932,0,1,0
Cfa-Mir-376-P3,0,0,0
Cfa-Mir-154-P3b,1,1,1
Loc-Mir-26-P1,1,1,0
Bta-Mir-628,0,1,0
Lan-Mir-92-o82,1,1,0
Tca-Mir-3851-P8b,0,1,0
Sto-Mir-205-P2,1,0,0
Dya-Mir-252-P2-v1,0,1,0
Mml-Mir-370,0,0,1
Hsa-Mir-430-P39,0,0,0
Bge-Mir-9-o13,0,0,0
Mmu-Mir-199-P1-v3,0,1,0
Dya-Mir-29-P2g,1,1,0
Xbo-Novel-2,0,1,0
Sme-Mir-12-P9,0,0,1
Mdo-Mir-103-P4,0,0,0
Oan-Mir-101-P1-v2,1,0,0
Efe-Mir-184-o3,0,1,1
Ete-Mir-154-P32,0,0,0
Dno-Mir-29-P2b,0,1,0
Cpi-Mir-17-P1a,0,0,0
Bfl-Mir-92-o3,0,1,0
Npo-Mir-2-o24,0,1,0
Sto-Mir-8-P2a,0,1,0
