,5p_length,5p_bulges,5p_bulges_len,5p_basepair,5p_basepair_len
Aae-Bantam,24,7,0.2916666666666667,17,0.2916666666666667
Aae-Iab-4-P1,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Iab-4-P1-as,25,5,0.2,20,0.2
Aae-Iab-4-P2,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Iab-4-P2-as,25,5,0.2,20,0.2
Aae-Let-7,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-1,22,2,0.09090909090909091,20,0.09090909090909091
Aae-Mir-10-P1-v1,22,2,0.09090909090909091,20,0.09090909090909091
Aae-Mir-10-P1-v2,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-10-P2,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-10-P3,22,7,0.3181818181818182,15,0.3181818181818182
Aae-Mir-10-P4,25,3,0.12,22,0.12
Aae-Mir-1000-P1,22,6,0.2727272727272727,16,0.2727272727272727
Aae-Mir-1000-P2,22,6,0.2727272727272727,16,0.2727272727272727
Aae-Mir-1175,24,4,0.16666666666666666,20,0.16666666666666666
Aae-Mir-11893-P1,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-11893-P2,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-11895-P1,22,0,0.0,22,0.0
Aae-Mir-11895-P2,22,0,0.0,22,0.0
Aae-Mir-11899-P1,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-11899-P2,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-11900,24,4,0.16666666666666666,20,0.16666666666666666
Aae-Mir-11911,23,6,0.2608695652173913,17,0.2608695652173913
Aae-Mir-12,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-124,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-133,23,6,0.2608695652173913,17,0.2608695652173913
Aae-Mir-137-P11,23,6,0.2608695652173913,17,0.2608695652173913
Aae-Mir-137-P12,23,6,0.2608695652173913,17,0.2608695652173913
Aae-Mir-14,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-184,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-1890,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-1891-P1-v1,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-1891-P1-v2,23,6,0.2608695652173913,17,0.2608695652173913
Aae-Mir-1891-P2-v1,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-1891-P2-v2,23,6,0.2608695652173913,17,0.2608695652173913
Aae-Mir-190,24,4,0.16666666666666666,20,0.16666666666666666
Aae-Mir-193-P1,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-2-P1-v1,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-2-P1-v2,21,4,0.19047619047619047,17,0.19047619047619047
Aae-Mir-2-P2,22,2,0.09090909090909091,20,0.09090909090909091
Aae-Mir-2-P3,23,2,0.08695652173913043,21,0.08695652173913043
Aae-Mir-2-P4-v1,23,2,0.08695652173913043,21,0.08695652173913043
Aae-Mir-2-P4-v2,21,2,0.09523809523809523,19,0.09523809523809523
Aae-Mir-2-P7,24,3,0.125,21,0.125
Aae-Mir-2-P8,25,4,0.16,21,0.16
Aae-Mir-210-v1,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-210-v2,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-216-P1,23,4,0.17391304347826086,19,0.17391304347826086
Aae-Mir-216-P2,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-219,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-22-P2,24,5,0.20833333333333334,19,0.20833333333333334
Aae-Mir-252-P2,22,7,0.3181818181818182,15,0.3181818181818182
Aae-Mir-275,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-276-P1,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-276-P2,21,3,0.14285714285714285,18,0.14285714285714285
Aae-Mir-2765,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-277,21,2,0.09523809523809523,19,0.09523809523809523
Aae-Mir-278,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-279-P1,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-279-P2a,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-279-P2b1,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-279-P2b2,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-279-P3,22,2,0.09090909090909091,20,0.09090909090909091
Aae-Mir-279-o26,24,3,0.125,21,0.125
Aae-Mir-2796,23,4,0.17391304347826086,19,0.17391304347826086
Aae-Mir-281,23,4,0.17391304347826086,19,0.17391304347826086
Aae-Mir-282-P1,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-282-P2,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-29-P1,23,6,0.2608695652173913,17,0.2608695652173913
Aae-Mir-29-P2h,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-2940,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-2941-P1,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-2941-P2,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-3-P2a1,23,4,0.17391304347826086,19,0.17391304347826086
Aae-Mir-3-P2a2,23,4,0.17391304347826086,19,0.17391304347826086
Aae-Mir-3-P2b,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-305,24,7,0.2916666666666667,17,0.2916666666666667
Aae-Mir-306,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-31,24,3,0.125,21,0.125
Aae-Mir-315,23,1,0.043478260869565216,22,0.043478260869565216
Aae-Mir-317-P8,22,2,0.09090909090909091,20,0.09090909090909091
Aae-Mir-317-P9,22,2,0.09090909090909091,20,0.09090909090909091
Aae-Mir-33,21,5,0.23809523809523808,16,0.23809523809523808
Aae-Mir-34,24,4,0.16666666666666666,20,0.16666666666666666
Aae-Mir-375,24,6,0.25,18,0.25
Aae-Mir-67-v1,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-67-v2,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-7,24,4,0.16666666666666666,20,0.16666666666666666
Aae-Mir-71,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-750,23,4,0.17391304347826086,19,0.17391304347826086
Aae-Mir-76,22,1,0.045454545454545456,21,0.045454545454545456
Aae-Mir-8,22,2,0.09090909090909091,20,0.09090909090909091
Aae-Mir-87-P2,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-9-P10a,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-9-P10b,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-9-P11,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-9-P12-v1,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-9-P12-v2,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-9-P13,24,5,0.20833333333333334,19,0.20833333333333334
Aae-Mir-92-o54,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-92-o55,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-927-P1,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-927-P2,22,5,0.22727272727272727,17,0.22727272727272727
Aae-Mir-929-P1,21,5,0.23809523809523808,16,0.23809523809523808
Aae-Mir-929-P2,21,5,0.23809523809523808,16,0.23809523809523808
Aae-Mir-932,23,3,0.13043478260869565,20,0.13043478260869565
Aae-Mir-957,23,2,0.08695652173913043,21,0.08695652173913043
Aae-Mir-96-P2,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-96-P3,24,6,0.25,18,0.25
Aae-Mir-965,24,5,0.20833333333333334,19,0.20833333333333334
Aae-Mir-970,24,4,0.16666666666666666,20,0.16666666666666666
Aae-Mir-971,22,3,0.13636363636363635,19,0.13636363636363635
Aae-Mir-988,22,4,0.18181818181818182,18,0.18181818181818182
Aae-Mir-989,23,5,0.21739130434782608,18,0.21739130434782608
Aae-Mir-999,23,4,0.17391304347826086,19,0.17391304347826086
Aca-Let-7-P1b,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Let-7-P1c,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Let-7-P1d,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Let-7-P2a1,22,5,0.22727272727272727,17,0.22727272727272727
Aca-Let-7-P2a2,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Let-7-P2a3,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Let-7-P2a4,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Let-7-P2b1,22,1,0.045454545454545456,21,0.045454545454545456
Aca-Let-7-P2b2,22,1,0.045454545454545456,21,0.045454545454545456
Aca-Let-7-P2b3,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Let-7-P2b4,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Let-7-P2c1,22,1,0.045454545454545456,21,0.045454545454545456
Aca-Let-7-P2c2,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Let-7-P2c3,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Mir-1-P1,23,2,0.08695652173913043,21,0.08695652173913043
Aca-Mir-1-P2,23,1,0.043478260869565216,22,0.043478260869565216
Aca-Mir-1-P3,23,2,0.08695652173913043,21,0.08695652173913043
Aca-Mir-1-P4,23,3,0.13043478260869565,20,0.13043478260869565
Aca-Mir-10-P1b-v1,22,5,0.22727272727272727,17,0.22727272727272727
Aca-Mir-10-P1b-v2,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-10-P1c-v1,22,5,0.22727272727272727,17,0.22727272727272727
Aca-Mir-10-P1c-v2,23,5,0.21739130434782608,18,0.21739130434782608
Aca-Mir-10-P1d-v1,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Mir-10-P1d-v2,22,5,0.22727272727272727,17,0.22727272727272727
Aca-Mir-10-P2b,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-10-P2c,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-10-P2d,22,6,0.2727272727272727,16,0.2727272727272727
Aca-Mir-10-P3b,23,3,0.13043478260869565,20,0.13043478260869565
Aca-Mir-10-P3c,22,6,0.2727272727272727,16,0.2727272727272727
Aca-Mir-10-P3d,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Mir-101-P1-v1,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Mir-101-P1-v2,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Mir-101-P2-v1,23,2,0.08695652173913043,21,0.08695652173913043
Aca-Mir-101-P2-v2,23,3,0.13043478260869565,20,0.13043478260869565
Aca-Mir-103-P1,23,3,0.13043478260869565,20,0.13043478260869565
Aca-Mir-103-P2,23,3,0.13043478260869565,20,0.13043478260869565
Aca-Mir-103-P4,23,3,0.13043478260869565,20,0.13043478260869565
Aca-Mir-122,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-124-P1-v1,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-124-P1-v2,23,4,0.17391304347826086,19,0.17391304347826086
Aca-Mir-124-P2-v1,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-124-P2-v2,23,4,0.17391304347826086,19,0.17391304347826086
Aca-Mir-124-P3-v1,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-124-P3-v2,23,4,0.17391304347826086,19,0.17391304347826086
Aca-Mir-124-P4-v1,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-124-P4-v2,23,5,0.21739130434782608,18,0.21739130434782608
Aca-Mir-126-P2-v1,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-126-P2-v2,21,3,0.14285714285714285,18,0.14285714285714285
Aca-Mir-126-P2-v3,23,5,0.21739130434782608,18,0.21739130434782608
Aca-Mir-128-P1,23,5,0.21739130434782608,18,0.21739130434782608
Aca-Mir-128-P2,23,8,0.34782608695652173,15,0.34782608695652173
Aca-Mir-129-P2,21,4,0.19047619047619047,17,0.19047619047619047
Aca-Mir-129-P4,21,3,0.14285714285714285,18,0.14285714285714285
Aca-Mir-130-P1a,22,3,0.13636363636363635,19,0.13636363636363635
Aca-Mir-130-P1b,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Mir-130-P1c,22,4,0.18181818181818182,18,0.18181818181818182
Aca-Mir-130-P2a,22,2,0.09090909090909091,20,0.09090909090909091
Aca-Mir-130-P2b,22,5,0.22727272727272727,17,0.22727272727272727
Aca-Mir-130-P3a,23,2,0.08695652173913043,21,0.08695652173913043
Aca-Mir-130-P4a,23,5,0.21739130434782608,18,0.21739130434782608
Aca-Mir-1306,22,6,0.2727272727272727,16,0.2727272727272727
Aca-Mir-132-P1,22,1,0.045454545454545456,21,0.045454545454545456
